"Mode","Backend","Rate","Display","Notes","Raw"
"address_btc","CPU","6000000","6.00 Mkeys/s","8 threads, SSE hash160, compress","[+] Total 98418688 keys in 15 seconds: ~6 Mkeys/s (6561245 keys/s)"
"address_btc_endo","CPU","8000000","8.00 Mkeys/s","8 threads + endomorphism -e","[+] Total 122449920 keys in 15 seconds: ~8 Mkeys/s (8163328 keys/s)"
"address_eth","CPU","3000000","3.00 Mkeys/s","8 threads, keccak","[+] Total 48606208 keys in 15 seconds: ~3 Mkeys/s (3240413 keys/s)"
"address_sol","CPU","70724","70.72 Kkeys/s","8 threads, ed25519","[+] Total 1060864 keys in 15 seconds: 70724 keys/s"
"rmd160","CPU","7000000","7.00 Mkeys/s","8 threads, SSE","[+] Total 109883392 keys in 15 seconds: ~7 Mkeys/s (7325559 keys/s)"
"rmd160_endo","CPU","8000000","8.00 Mkeys/s","8 threads + -e","[+] Total 121540608 keys in 15 seconds: ~8 Mkeys/s (8102707 keys/s)"
"xpoint","CPU","11000000","11.00 Mkeys/s","8 threads","[+] Total 169942016 keys in 15 seconds: ~11 Mkeys/s (11329467 keys/s)"
"vanity","CPU","8000000","8.00 Mkeys/s","8 threads + -e, prefix 1Love","[+] Total 121012224 keys in 15 seconds: ~8 Mkeys/s (8067481 keys/s)"
"pubkey2addr","CPU","496000000","496.00 Mkeys/s","8 threads","[+] Total 7335137280 keys in 15 seconds: ~489 Mkeys/s (489009152 keys/s)"
"minikeys","CPU","51097","51.10 Kkeys/s","8 threads","[+] Total 728064 keys in 15 seconds: 48537 keys/s"
"mnemonic","CPU","247057","247.06 Kkeys/s","8 threads BIP39 (CPU only)","[+] Total 3705856 mnemonics in 15 seconds: 247057 mnemonics/s"
"poetry","CPU","57000000","57.00 Mkeys/s","4 threads","[+] Total 867941376 mnemonics in 15 seconds: ~57 Mmnemonics/s (57862758 mnemonics/s)"
"brainwallet","CPU","96000000","96.00 Mkeys/s","4 threads","[+] Total 1419734016 mnemonics in 15 seconds: ~94 Mmnemonics/s (94648934 mnemonics/s)"
"bsgs","CPU","26000000000","26.00 Gkeys/s","8 threads, -b 40, -n 1M (includes table build time in wall clock; rate from stats)","[+] Total 1057690222592 keys in 40 seconds: ~26 Gkeys/s (26442255564 keys/s)"
"cuda_address_btc","CUDA","154419","154.42 Kkeys/s","RTX 3060 Ti, -G 128, t=1, GPU EC + host hash","[+] Total 1648640 keys in 15 seconds: 109909 keys/s"
"cuda_address_eth","CUDA","66969","66.97 Kkeys/s","GPU EC + host keccak","[+] Total 743424 keys in 15 seconds: 49561 keys/s"
"cuda_rmd160","CUDA","165068","165.07 Kkeys/s","GPU EC + host hash160","[+] Total 1765376 keys in 15 seconds: 117691 keys/s"
"mnemonic_gpu","CUDA","0","n/a","Not implemented - mnemonic stays CPU",""
"vanity_gpu","CUDA","0","n/a","Not implemented - vanity stays CPU",""
"bsgs_gpu","CUDA","0","n/a","Not implemented - BSGS stays CPU",""
"sol_gpu","CUDA","0","n/a","Not implemented - Solana stays CPU",""
